iter	Passed	Remaining
0	152	152641
1	156	78158
2	160	53225
3	163	40723
4	167	33237
5	170	28290
6	174	24736
7	177	22067
8	181	20001
9	184	18266
10	187	16816
11	189	15589
12	191	14514
13	193	13594
14	194	12789
15	196	12069
16	197	11434
17	199	10867
18	200	10358
19	201	9891
20	203	9469
21	204	9085
22	205	8736
23	206	8410
24	207	8108
25	208	7828
26	210	7569
27	211	7328
28	212	7103
29	213	6892
30	214	6692
31	215	6503
32	215	6327
33	216	6162
34	217	6004
35	218	5857
36	219	5713
37	220	5579
38	221	5450
39	222	5328
40	222	5212
41	223	5103
42	224	4997
43	225	4898
44	226	4804
45	227	4713
46	228	4631
47	229	4548
48	230	4468
49	231	4392
50	232	4317
51	232	4245
52	233	4176
53	234	4110
54	235	4045
55	236	3983
56	237	3923
57	238	3866
58	238	3811
59	239	3756
60	240	3705
61	241	3655
62	242	3606
63	243	3559
64	244	3513
65	245	3469
66	245	3425
67	246	3383
68	247	3342
69	248	3301
70	249	3262
71	250	3225
72	251	3189
73	252	3153
74	252	3118
75	253	3085
76	254	3052
77	255	3020
78	256	2988
79	257	2958
80	258	2927
81	258	2898
82	259	2865
83	260	2837
84	261	2810
85	261	2783
86	262	2758
87	263	2732
88	264	2708
89	265	2684
90	266	2660
91	267	2637
92	268	2614
93	269	2592
94	269	2570
95	270	2549
96	271	2528
97	272	2507
98	273	2487
99	274	2467
100	275	2447
101	275	2429
102	276	2410
103	277	2392
104	278	2374
105	279	2356
106	280	2339
107	281	2322
108	282	2305
109	282	2289
110	283	2272
111	284	2256
112	285	2240
113	286	2225
114	287	2209
115	288	2195
116	288	2179
117	289	2165
118	290	2151
119	291	2137
120	292	2123
121	292	2108
122	293	2095
123	294	2082
124	295	2069
125	296	2056
126	297	2042
127	297	2029
128	298	2017
129	299	2005
130	300	1993
131	301	1982
132	302	1970
133	303	1959
134	304	1948
135	304	1937
136	305	1926
137	306	1916
138	307	1905
139	308	1895
140	309	1884
141	309	1872
142	310	1862
143	311	1852
144	312	1842
145	313	1833
146	314	1823
147	315	1814
148	316	1805
149	316	1796
150	317	1786
151	318	1778
152	319	1769
153	320	1760
154	321	1751
155	322	1743
156	323	1734
157	323	1725
158	324	1717
159	325	1709
160	326	1699
161	327	1691
162	327	1683
163	328	1675
164	329	1668
165	330	1660
166	331	1652
167	332	1645
168	333	1637
169	333	1630
170	334	1623
171	335	1615
172	336	1608
173	337	1601
174	338	1594
175	339	1587
176	340	1580
177	340	1574
178	341	1567
179	342	1560
180	343	1554
181	344	1547
182	345	1541
183	346	1534
184	346	1528
185	347	1522
186	348	1515
187	349	1509
188	350	1503
189	351	1497
190	352	1491
191	353	1485
192	353	1479
193	354	1474
194	355	1468
195	356	1462
196	357	1456
197	358	1450
198	359	1445
199	359	1439
200	360	1433
201	361	1427
202	362	1422
203	363	1417
204	364	1411
205	364	1406
206	365	1400
207	366	1395
208	367	1390
209	368	1385
210	369	1380
211	369	1375
212	370	1370
213	371	1365
214	372	1360
215	373	1355
216	374	1351
217	375	1346
218	376	1341
219	376	1336
220	377	1331
221	378	1327
222	379	1322
223	380	1317
224	381	1313
225	382	1308
226	383	1304
227	383	1299
228	384	1295
229	385	1290
230	386	1286
231	387	1282
232	388	1277
233	389	1273
234	389	1269
235	390	1265
236	391	1260
237	392	1256
238	393	1252
239	394	1248
240	395	1244
241	395	1239
242	396	1235
243	397	1231
244	398	1227
245	399	1223
246	400	1219
247	400	1215
248	401	1211
249	402	1207
250	403	1203
251	404	1200
252	405	1196
253	405	1192
254	406	1188
255	407	1184
256	408	1181
257	409	1177
258	410	1173
259	411	1170
260	411	1166
261	412	1163
262	413	1159
263	414	1155
264	415	1152
265	416	1148
266	417	1145
267	417	1141
268	418	1138
269	419	1134
270	420	1131
271	421	1128
272	422	1124
273	423	1121
274	424	1117
275	424	1114
276	425	1111
277	426	1108
278	427	1104
279	428	1101
280	429	1098
281	430	1095
282	431	1092
283	431	1088
284	432	1085
285	433	1082
286	434	1079
287	435	1076
288	436	1073
289	437	1070
290	437	1066
291	438	1063
292	439	1060
293	440	1057
294	441	1054
295	442	1051
296	443	1048
297	444	1046
298	444	1043
299	445	1040
300	446	1037
301	447	1034
302	448	1031
303	449	1028
304	450	1025
305	450	1022
306	451	1019
307	452	1016
308	453	1014
309	454	1011
310	455	1008
311	455	1005
312	456	1002
313	457	1000
314	458	997
315	459	994
316	460	991
317	461	989
318	461	986
319	462	983
320	463	980
321	464	978
322	465	975
323	466	973
324	467	970
325	468	967
326	469	965
327	469	962
328	470	960
329	471	957
330	472	954
331	473	952
332	474	949
333	475	947
334	475	944
335	476	942
336	477	939
337	478	937
338	479	935
339	480	932
340	481	930
341	482	927
342	483	925
343	483	922
344	484	920
345	485	918
346	486	915
347	487	913
348	488	910
349	489	908
350	489	905
351	490	903
352	491	901
353	492	898
354	493	896
355	494	893
356	495	891
357	495	889
358	496	887
359	497	884
360	498	882
361	499	880
362	500	877
363	501	875
364	502	873
365	502	871
366	503	868
367	504	866
368	505	864
369	506	862
370	507	860
371	508	857
372	509	855
373	509	853
374	510	851
375	511	849
376	512	846
377	513	844
378	514	842
379	515	840
380	515	838
381	516	836
382	517	833
383	518	831
384	519	829
385	520	827
386	521	825
387	521	823
388	522	820
389	523	818
390	524	816
391	525	814
392	525	812
393	526	810
394	527	808
395	528	806
396	529	804
397	530	802
398	531	800
399	532	798
400	532	796
401	533	794
402	534	791
403	535	789
404	536	787
405	537	785
406	537	783
407	538	781
408	539	779
409	540	777
410	541	775
411	542	774
412	543	772
413	544	770
414	544	768
415	545	766
416	546	764
417	547	762
418	548	760
419	548	757
420	549	755
421	550	753
422	551	751
423	552	750
424	552	748
425	553	746
426	554	744
427	555	742
428	556	740
429	557	738
430	558	736
431	559	734
432	559	733
433	560	731
434	561	729
435	562	727
436	563	725
437	563	723
438	564	721
439	565	719
440	566	718
441	567	716
442	568	714
443	569	712
444	570	711
445	571	709
446	571	707
447	572	705
448	573	704
449	574	702
450	575	700
451	576	698
452	577	696
453	578	695
454	578	693
455	579	691
456	580	689
457	581	688
458	582	686
459	583	684
460	584	683
461	585	681
462	586	680
463	587	678
464	588	676
465	589	675
466	589	673
467	590	671
468	591	669
469	592	668
470	593	666
471	594	664
472	595	663
473	596	661
474	596	659
475	597	657
476	598	656
477	599	654
478	600	653
479	601	651
480	602	649
481	603	648
482	603	646
483	604	644
484	605	643
485	606	641
486	607	639
487	608	638
488	609	636
489	610	635
490	610	633
491	611	631
492	612	630
493	613	628
494	614	627
495	615	625
496	616	623
497	617	622
498	618	620
499	619	619
500	620	617
501	620	616
502	621	614
503	622	612
504	623	611
505	624	609
506	625	608
507	626	606
508	627	604
509	627	603
510	629	602
511	630	600
512	631	599
513	632	597
514	633	596
515	634	594
516	634	593
517	635	591
518	636	590
519	637	588
520	638	586
521	639	585
522	640	583
523	640	582
524	641	580
525	642	579
526	643	577
527	644	576
528	645	574
529	646	573
530	647	571
531	648	570
532	649	568
533	649	567
534	650	565
535	651	564
536	652	562
537	653	561
538	654	559
539	655	558
540	656	556
541	657	555
542	658	553
543	659	552
544	659	551
545	660	549
546	661	548
547	662	546
548	663	545
549	664	543
550	665	542
551	666	540
552	667	539
553	668	537
554	668	536
555	669	534
556	670	533
557	671	531
558	672	530
559	673	528
560	674	527
561	674	526
562	675	524
563	676	523
564	677	521
565	678	520
566	679	518
567	680	517
568	681	515
569	681	514
570	682	513
571	683	511
572	689	513
573	690	512
574	691	510
575	692	509
576	693	508
577	693	506
578	694	505
579	695	503
580	696	502
581	697	500
582	698	499
583	699	498
584	700	496
585	700	495
586	701	493
587	702	492
588	703	490
589	704	489
590	705	488
591	706	486
592	707	485
593	708	483
594	708	482
595	709	481
596	710	479
597	711	478
598	712	476
599	713	475
600	714	474
601	714	472
602	715	471
603	716	469
604	717	468
605	718	467
606	719	465
607	720	464
608	720	462
609	721	461
610	722	460
611	723	458
612	724	457
613	725	455
614	726	454
615	726	453
616	727	451
617	728	450
618	729	448
619	730	447
620	731	446
621	732	444
622	732	443
623	733	442
624	734	440
625	735	439
626	736	438
627	737	436
628	738	435
629	738	433
630	739	432
631	740	431
632	741	429
633	742	428
634	743	427
635	744	425
636	744	424
637	745	423
638	746	421
639	747	420
640	748	419
641	749	417
642	750	416
643	750	415
644	751	413
645	752	412
646	753	411
647	754	409
648	755	408
649	756	407
650	757	405
651	758	404
652	758	403
653	759	401
654	760	400
655	761	399
656	762	397
657	763	396
658	764	395
659	764	394
660	765	392
661	766	391
662	767	390
663	768	388
